token	corpus size	all contexts size	frequency	co-frequency	specificity
изучаете	74279	12603	4	4	3.08
Давайте	74279	12603	4	4	3.08
лучший	74279	12603	4	4	3.08
умеют	74279	12603	4	4	3.08
поражающий	74279	12603	4	4	3.08
ярко-красный	74279	12603	4	4	3.08
пастой	74279	12603	4	4	3.08
вся	74279	12603	4	4	3.08
сопровождает	74279	12603	4	4	3.08
непризнанные	74279	12603	4	4	3.08
признанные	74279	12603	4	4	3.08
Абхазию	74279	12603	4	4	3.08
Южную	74279	12603	4	4	3.08
Осетию	74279	12603	4	4	3.08
распространён	74279	12603	4	4	3.08
чел	74279	12603	4	4	3.08
Лопатин	74279	12603	4	4	3.08
Улуханов	74279	12603	4	4	3.08
Славянские	74279	12603	4	4	3.08
Гл	74279	12603	4	4	3.08
Караулов	74279	12603	4	4	3.08
перераб	74279	12603	4	4	3.08
непосредств	74279	12603	4	4	3.08
дифференциация	74279	12603	4	4	3.08
примерз	74279	12603	4	4	3.08
сцепляется	74279	12603	4	4	3.08
ворота	74279	12603	4	4	3.08
Каждый	74279	12603	4	4	3.08
употребляет	74279	12603	4	4	3.08
неповторимой	74279	12603	4	4	3.08
преобразования	74279	12603	4	4	3.08
объективное	74279	12603	4	4	3.08
способен	74279	12603	4	4	3.08
участия	74279	12603	4	4	3.08
создается	74279	12603	4	4	3.08
рецепт	74279	12603	4	4	3.08
Говяжий	74279	12603	4	4	3.08
попробовать	74279	12603	4	4	3.08
введенного	74279	12603	4	4	3.08
позволит	74279	12603	4	4	3.08
знали	74279	12603	4	4	3.08
нормальный	74279	12603	4	4	3.08
распространенным	74279	12603	4	4	3.08
особенным	74279	12603	4	4	3.08
изображение	74279	12603	4	4	3.08
обложенный	74279	12603	4	4	3.08
десна	74279	12603	4	4	3.08
что	74279	12603	396	89	3.04
но	74279	12603	156	41	2.99
довольно	74279	12603	9	6	2.94
состоянии	74279	12603	15	8	2.92
чего	74279	12603	15	8	2.92
Олли	74279	12603	15	8	2.92
уже	74279	12603	53	18	2.88
официальным	74279	12603	22	10	2.86
жизнь	74279	12603	22	10	2.86
болезнях	74279	12603	22	10	2.86
случаев	74279	12603	22	10	2.86
надо	74279	12603	22	10	2.86
того	74279	12603	71	22	2.81
где	74279	12603	30	12	2.76
находится	74279	12603	16	8	2.70
выражения	74279	12603	16	8	2.70
налетом	74279	12603	16	8	2.70
Врач	74279	12603	16	8	2.70
продвижения	74279	12603	7	5	2.69
самобытности	74279	12603	7	5	2.69
Видеоуроки	74279	12603	7	5	2.69
часто	74279	12603	31	12	2.63
силу	74279	12603	10	6	2.62
наряду	74279	12603	10	6	2.62
значит	74279	12603	10	6	2.62
помогает	74279	12603	10	6	2.62
кожу	74279	12603	10	6	2.62
влияет	74279	12603	10	6	2.62
нужно	74279	12603	75	22	2.52
25	74279	12603	17	8	2.50
пока	74279	12603	17	8	2.50
щеткой	74279	12603	17	8	2.50
родным	74279	12603	17	8	2.50
если	74279	12603	108	29	2.50
развивающейся	74279	12603	5	4	2.46
инструментом	74279	12603	5	4	2.46
отсутствуют	74279	12603	5	4	2.46
располагается	74279	12603	5	4	2.46
кислоты	74279	12603	5	4	2.46
остановить	74279	12603	5	4	2.46
Одри	74279	12603	5	4	2.46
Азуле	74279	12603	5	4	2.46
общин	74279	12603	5	4	2.46
видны	74279	12603	5	4	2.46
болезнью	74279	12603	5	4	2.46
язва	74279	12603	5	4	2.46
выучил	74279	12603	5	4	2.46
Оглавление	74279	12603	5	4	2.46
новый	74279	12603	5	4	2.46
Прежде	74279	12603	5	4	2.46
Такое	74279	12603	5	4	2.46
разнообразные	74279	12603	5	4	2.46
масса	74279	12603	5	4	2.46
Приднестровье	74279	12603	5	4	2.46
пятнами	74279	12603	5	4	2.46
индивид	74279	12603	5	4	2.46
тот	74279	12603	5	4	2.46
выступать	74279	12603	5	4	2.46
разговорный	74279	12603	5	4	2.46
образом	74279	12603	21	9	2.43
водой	74279	12603	21	9	2.43
собой	74279	12603	25	10	2.40
используется	74279	12603	25	10	2.40
часть	74279	12603	25	10	2.40
ребенка	74279	12603	33	12	2.39
и	74279	12603	2217	408	2.36
нашей	74279	12603	11	6	2.36
воздействие	74279	12603	11	6	2.36
Где	74279	12603	11	6	2.36
чуть	74279	12603	11	6	2.36
сохранить	74279	12603	11	6	2.36
делает	74279	12603	11	6	2.36
Энциклопедия	74279	12603	11	6	2.36
социальные	74279	12603	11	6	2.36
нашу	74279	12603	11	6	2.36
трех	74279	12603	11	6	2.36
оценить	74279	12603	11	6	2.36
национальной	74279	12603	18	8	2.33
заболевание	74279	12603	18	8	2.33
холодной	74279	12603	3	3	2.31
конференции	74279	12603	3	3	2.31
это	74279	12603	271	60	2.28
этой	74279	12603	43	14	2.23
Кроме	74279	12603	27	10	2.15
общения	74279	12603	44	14	2.15
Некоторые	74279	12603	12	6	2.14
хорошо	74279	12603	12	6	2.14
способ	74279	12603	12	6	2.14
Несмотря	74279	12603	6	4	2.07
природных	74279	12603	6	4	2.07
качеств	74279	12603	6	4	2.07
субъектов	74279	12603	6	4	2.07
живой	74279	12603	6	4	2.07
Беларуси	74279	12603	6	4	2.07
распространённости	74279	12603	6	4	2.07
похож	74279	12603	6	4	2.07
польский	74279	12603	6	4	2.07
прилегает	74279	12603	6	4	2.07
покоя	74279	12603	6	4	2.07
начали	74279	12603	6	4	2.07
диабете	74279	12603	6	4	2.07
коротких	74279	12603	6	4	2.07
совет	74279	12603	6	4	2.07
полезно	74279	12603	6	4	2.07
объясняет	74279	12603	6	4	2.07
От	74279	12603	6	4	2.07
Очищать	74279	12603	6	4	2.07
утром	74279	12603	6	4	2.07
качественно	74279	12603	6	4	2.07
покрыт	74279	12603	6	4	2.07
полость	74279	12603	6	4	2.07
воспалительный	74279	12603	6	4	2.07
молчим	74279	12603	6	4	2.07
Государственные	74279	12603	6	4	2.07
межнационального	74279	12603	6	4	2.07
Одна	74279	12603	6	4	2.07
влияния	74279	12603	6	4	2.07
субъективного	74279	12603	6	4	2.07
знаем	74279	12603	6	4	2.07
реализует	74279	12603	6	4	2.07
скрытые	74279	12603	6	4	2.07
деликатес	74279	12603	6	4	2.07
окончания	74279	12603	6	4	2.07
сказала	74279	12603	6	4	2.07
Ученые	74279	12603	6	4	2.07
материя	74279	12603	6	4	2.07
используем	74279	12603	6	4	2.07
млн	74279	12603	16	7	2.06
большинстве	74279	12603	16	7	2.06
Европе	74279	12603	28	10	2.04
начать	74279	12603	28	10	2.04
культурной	74279	12603	20	8	2.03
менее	74279	12603	20	8	2.03
многих	74279	12603	20	8	2.03
Когда	74279	12603	20	8	2.03
том	74279	12603	64	18	2.03
в	74279	12603	1684	307	2.01
тем	74279	12603	46	14	1.99
большая	74279	12603	13	6	1.95
которым	74279	12603	13	6	1.95
витамина	74279	12603	13	6	1.95
слишком	74279	12603	13	6	1.95
людям	74279	12603	13	6	1.95
функций	74279	12603	13	6	1.95
Ю	74279	12603	13	6	1.95
японский	74279	12603	13	6	1.95
При	74279	12603	75	20	1.95
позволяет	74279	12603	25	9	1.92
Так	74279	12603	38	12	1.91
всем	74279	12603	21	8	1.90
Чем	74279	12603	21	8	1.90
при	74279	12603	211	46	1.89
легко	74279	12603	30	10	1.84
Он	74279	12603	39	12	1.83
своих	74279	12603	26	9	1.81
мира	74279	12603	63	17	1.81
онлайн	74279	12603	44	13	1.80
другой	74279	12603	14	6	1.79
европейцев	74279	12603	14	6	1.79
симптом	74279	12603	14	6	1.79
Нет	74279	12603	14	6	1.79
ничего	74279	12603	14	6	1.79
правильно	74279	12603	14	6	1.79
мозг	74279	12603	14	6	1.79
Число	74279	12603	4	3	1.79
разум	74279	12603	4	3	1.79
Региональные	74279	12603	4	3	1.79
хочет	74279	12603	4	3	1.79
обогнал	74279	12603	4	3	1.79
болезни	74279	12603	22	8	1.79
лингвокультурном	74279	12603	7	4	1.78
широкое	74279	12603	7	4	1.78
спинке	74279	12603	7	4	1.78
ума	74279	12603	7	4	1.78
независимости	74279	12603	7	4	1.78
Начните	74279	12603	7	4	1.78
диалогов	74279	12603	7	4	1.78
что-то	74279	12603	7	4	1.78
месяца	74279	12603	7	4	1.78
отложения	74279	12603	7	4	1.78
служит	74279	12603	7	4	1.78
ряде	74279	12603	7	4	1.78
государства	74279	12603	7	4	1.78
Второй	74279	12603	7	4	1.78
феномен	74279	12603	7	4	1.78
явления	74279	12603	7	4	1.78
рассказал	74279	12603	7	4	1.78
тщательно	74279	12603	7	4	1.78
мотивации	74279	12603	7	4	1.78
Даты	74279	12603	7	4	1.78
живая	74279	12603	7	4	1.78
культуры	74279	12603	40	12	1.76
вас	74279	12603	31	10	1.75
лучше	74279	12603	31	10	1.75
вы	74279	12603	153	34	1.72
общества	74279	12603	41	12	1.69
такое	74279	12603	23	8	1.68
числу	74279	12603	11	5	1.67
блюда	74279	12603	11	5	1.67
Вайкуле	74279	12603	11	5	1.67
качестве	74279	12603	32	10	1.67
количество	74279	12603	32	10	1.67
есть	74279	12603	81	20	1.66
целом	74279	12603	15	6	1.65
большинство	74279	12603	15	6	1.65
возникает	74279	12603	15	6	1.65
бывает	74279	12603	15	6	1.65
явление	74279	12603	15	6	1.65
перед	74279	12603	15	6	1.65
своей	74279	12603	15	6	1.65
только	74279	12603	134	30	1.65
Но	74279	12603	82	20	1.62
из	74279	12603	257	52	1.61
же	74279	12603	62	16	1.60
бы	74279	12603	33	10	1.59
то	74279	12603	104	24	1.58
с	74279	12603	673	123	1.57
цвет	74279	12603	43	12	1.56
планетарной	74279	12603	8	4	1.56
Соответственно	74279	12603	8	4	1.56
духовной	74279	12603	8	4	1.56
топ	74279	12603	8	4	1.56
таком	74279	12603	8	4	1.56
миллионами	74279	12603	8	4	1.56
восемь	74279	12603	8	4	1.56
простых	74279	12603	8	4	1.56
Существует	74279	12603	8	4	1.56
способов	74279	12603	8	4	1.56
иметь	74279	12603	8	4	1.56
человеку	74279	12603	8	4	1.56
новые	74279	12603	8	4	1.56
образуется	74279	12603	8	4	1.56
искусства	74279	12603	8	4	1.56
Здоровый	74279	12603	8	4	1.56
международного	74279	12603	8	4	1.56
де	74279	12603	8	4	1.56
общество	74279	12603	8	4	1.56
понятия	74279	12603	8	4	1.56
предлагает	74279	12603	8	4	1.56
входит	74279	12603	8	4	1.56
мышления	74279	12603	8	4	1.56
уникальный	74279	12603	8	4	1.56
наши	74279	12603	8	4	1.56
которых	74279	12603	48	13	1.56
По	74279	12603	53	14	1.55
распространенности	74279	12603	2	2	1.54
уступает	74279	12603	2	2	1.54
индонезийскому	74279	12603	2	2	1.54
самобытной	74279	12603	2	2	1.54
неотъемлемой	74279	12603	2	2	1.54
меньшая	74279	12603	2	2	1.54
определяющей	74279	12603	2	2	1.54
глобальный	74279	12603	2	2	1.54
огромной	74279	12603	2	2	1.54
колониальной	74279	12603	2	2	1.54
обеспечил	74279	12603	2	2	1.54
доминирование	74279	12603	2	2	1.54
позициям	74279	12603	2	2	1.54
продолжительного	74279	12603	2	2	1.54
исторически	74279	12603	2	2	1.54
сложившейся	74279	12603	2	2	1.54
мультикультурности	74279	12603	2	2	1.54
являлся	74279	12603	2	2	1.54
интегратором	74279	12603	2	2	1.54
эффективности	74279	12603	2	2	1.54
постсоветском	74279	12603	2	2	1.54
собственно	74279	12603	2	2	1.54
реципиентом	74279	12603	2	2	1.54
постколониальной	74279	12603	2	2	1.54
термина	74279	12603	2	2	1.54
нациеобразующей	74279	12603	2	2	1.54
выполнял	74279	12603	2	2	1.54
Преодолев	74279	12603	2	2	1.54
колониальное	74279	12603	2	2	1.54
материальный	74279	12603	2	2	1.54
утратили	74279	12603	2	2	1.54
общечеловеческого	74279	12603	2	2	1.54
восьмую	74279	12603	2	2	1.54
статусу	74279	12603	2	2	1.54
четвертое	74279	12603	2	2	1.54
транслятором	74279	12603	2	2	1.54
иерархиезирующего	74279	12603	2	2	1.54
цивилизационного	74279	12603	2	2	1.54
сложном	74279	12603	2	2	1.54
локального	74279	12603	2	2	1.54
общности	74279	12603	2	2	1.54
оставаясь	74279	12603	2	2	1.54
организмом	74279	12603	2	2	1.54
обогащаться	74279	12603	2	2	1.54
последней	74279	12603	2	2	1.54
являясь	74279	12603	2	2	1.54
нацию	74279	12603	2	2	1.54
диалектически	74279	12603	2	2	1.54
противоположных	74279	12603	2	2	1.54
трендов	74279	12603	2	2	1.54
целостности	74279	12603	2	2	1.54
проявляющейся	74279	12603	2	2	1.54
координат	74279	12603	2	2	1.54
решает	74279	12603	2	2	1.54
таргетирование	74279	12603	2	2	1.54
подсчетам	74279	12603	2	2	1.54
экспертов	74279	12603	2	2	1.54
последние	74279	12603	2	2	1.54
вошли	74279	12603	2	2	1.54
329	74279	12603	2	2	1.54
жизненного	74279	12603	2	2	1.54
грядущей	74279	12603	2	2	1.54
исключительное	74279	12603	2	2	1.54
Одним	74279	12603	2	2	1.54
сохраняет	74279	12603	2	2	1.54
наращивает	74279	12603	2	2	1.54
артикуляции	74279	12603	2	2	1.54
напротив	74279	12603	2	2	1.54
представленным	74279	12603	2	2	1.54
популярного	74279	12603	2	2	1.54
учебника	74279	12603	2	2	1.54
Поехали	74279	12603	2	2	1.54
многократно	74279	12603	2	2	1.54
переиздаваемом	74279	12603	2	2	1.54
упоминаются	74279	12603	2	2	1.54
усилиям	74279	12603	2	2	1.54
творческих	74279	12603	2	2	1.54
Имеют	74279	12603	2	2	1.54
курьезные	74279	12603	2	2	1.54
90-летняя	74279	12603	2	2	1.54
англичанка	74279	12603	2	2	1.54
Мэри	74279	12603	2	2	1.54
Хобсон	74279	12603	2	2	1.54
учит	74279	12603	2	2	1.54
оригинале	74279	12603	2	2	1.54
Войну	74279	12603	2	2	1.54
Горе	74279	12603	2	2	1.54
Евростатом	74279	12603	2	2	1.54
возрастной	74279	12603	2	2	1.54
трудоспособных	74279	12603	2	2	1.54
Нацеленность	74279	12603	2	2	1.54
младших	74279	12603	2	2	1.54
89	74279	12603	2	2	1.54
Болгарии	74279	12603	2	2	1.54
Причем	74279	12603	2	2	1.54
употребляющие	74279	12603	2	2	1.54
быту	74279	12603	2	2	1.54
распространенном	74279	12603	2	2	1.54
логике	74279	12603	2	2	1.54
цивилизационном	74279	12603	2	2	1.54
лингвистическом	74279	12603	2	2	1.54
представляющие	74279	12603	2	2	1.54
указанным	74279	12603	2	2	1.54
направлениям	74279	12603	2	2	1.54
засоряющими	74279	12603	2	2	1.54
деформирующими	74279	12603	2	2	1.54
эсперанто	74279	12603	2	2	1.54
прерванного	74279	12603	2	2	1.54
1950-х	74279	12603	2	2	1.54
годах	74279	12603	2	2	1.54
продвигавших	74279	12603	2	2	1.54
доминанты	74279	12603	2	2	1.54
истоков	74279	12603	2	2	1.54
недифференцированность	74279	12603	2	2	1.54
плебса	74279	12603	2	2	1.54
неиссякаемым	74279	12603	2	2	1.54
родником	74279	12603	2	2	1.54
вбирая	74279	12603	2	2	1.54
Было	74279	12603	2	2	1.54
воспринимаемых	74279	12603	2	2	1.54
прочно	74279	12603	2	2	1.54
вошедших	74279	12603	2	2	1.54
4См	74279	12603	2	2	1.54
фактор	74279	12603	2	2	1.54
Международная	74279	12603	2	2	1.54
11Путин	74279	12603	2	2	1.54
20200606	74279	12603	2	2	1.54
Открывает	74279	12603	2	2	1.54
желающих	74279	12603	2	2	1.54
сложным	74279	12603	2	2	1.54
препятствием	74279	12603	2	2	1.54
жителями	74279	12603	2	2	1.54
топе	74279	12603	2	2	1.54
Лихтенштейна	74279	12603	2	2	1.54
расположился	74279	12603	2	2	1.54
охват	74279	12603	2	2	1.54
впечатляет	74279	12603	2	2	1.54
Вполне	74279	12603	2	2	1.54
списке	74279	12603	2	2	1.54
четвёртым	74279	12603	2	2	1.54
Ирландии	74279	12603	2	2	1.54
ирландским	74279	12603	2	2	1.54
умолчанию	74279	12603	2	2	1.54
Соединённом	74279	12603	2	2	1.54
Королевстве	74279	12603	2	2	1.54
Украиснкий	74279	12603	2	2	1.54
Украинский	74279	12603	2	2	1.54
восточнославянский	74279	12603	2	2	1.54
старославянскому	74279	12603	2	2	1.54
словацкий	74279	12603	2	2	1.54
Большее	74279	12603	2	2	1.54
Польши	74279	12603	2	2	1.54
Чехии	74279	12603	2	2	1.54
Слегка	74279	12603	2	2	1.54
обогнав	74279	12603	2	2	1.54
голландский	74279	12603	2	2	1.54
врывается	74279	12603	2	2	1.54
десятое	74279	12603	2	2	1.54
хочешь	74279	12603	2	2	1.54
Общайся	74279	12603	2	2	1.54
изучай	74279	12603	2	2	1.54
произношения	74279	12603	2	2	1.54
пошагово	74279	12603	2	2	1.54
объясним	74279	12603	2	2	1.54
красным	74279	12603	2	2	1.54
оттенком	74279	12603	2	2	1.54
неглубокой	74279	12603	2	2	1.54
линией	74279	12603	2	2	1.54
изъязвления	74279	12603	2	2	1.54
следы	74279	12603	2	2	1.54
отпечатков	74279	12603	2	2	1.54
нормальных	74279	12603	2	2	1.54
касаясь	74279	12603	2	2	1.54
кончиком	74279	12603	2	2	1.54
зубов-резцов	74279	12603	2	2	1.54
нёба	74279	12603	2	2	1.54
2-х	74279	12603	2	2	1.54
увеличенный	74279	12603	2	2	1.54
болезненным	74279	12603	2	2	1.54
ярко-красным	74279	12603	2	2	1.54
обесцвеченных	74279	12603	2	2	1.54
нахождении	74279	12603	2	2	1.54
находиться	74279	12603	2	2	1.54
диагностикой	74279	12603	2	2	1.54
ценное	74279	12603	2	2	1.54
мелодика	74279	12603	2	2	1.54
краски	74279	12603	2	2	1.54
художественная	74279	12603	2	2	1.54
Жилище	74279	12603	2	2	1.54
духа	74279	12603	2	2	1.54
жилище	74279	12603	2	2	1.54
славу	74279	12603	2	2	1.54
милее	74279	12603	2	2	1.54
Нелегко	74279	12603	2	2	1.54
уберечь	74279	12603	2	2	1.54
музыку	74279	12603	2	2	1.54
постоянном	74279	12603	2	2	1.54
иноязычном	74279	12603	2	2	1.54
окружении	74279	12603	2	2	1.54
обретения	74279	12603	2	2	1.54
Украиной	74279	12603	2	2	1.54
единственной	74279	12603	2	2	1.54
сферой	74279	12603	2	2	1.54
заведениях	74279	12603	2	2	1.54
внедрять	74279	12603	2	2	1.54
мигрирующий	74279	12603	2	2	1.54
поражениями	74279	12603	2	2	1.54
пораженный	74279	12603	2	2	1.54
лысую	74279	12603	2	2	1.54
красную	74279	12603	2	2	1.54
окружена	74279	12603	2	2	1.54
неправильной	74279	12603	2	2	1.54
отсюда	74279	12603	2	2	1.54
распространенное	74279	12603	2	2	1.54
затрагивает	74279	12603	2	2	1.54
Произойти	74279	12603	2	2	1.54
заразен	74279	12603	2	2	1.54
передается	74279	12603	2	2	1.54
каким-либо	74279	12603	2	2	1.54
диагностируется	74279	12603	2	2	1.54
общего	74279	12603	2	2	1.54
Требует	74279	12603	2	2	1.54
вызывать	74279	12603	2	2	1.54
трансформироваться	74279	12603	2	2	1.54
зафиксировано	74279	12603	2	2	1.54
подозрение	74279	12603	2	2	1.54
неудобное	74279	12603	2	2	1.54
вызывающее	74279	12603	2	2	1.54
признавали	74279	12603	2	2	1.54
директор	74279	12603	2	2	1.54
грамотности	74279	12603	2	2	1.54
фундаментом	74279	12603	2	2	1.54
дальнейшего	74279	12603	2	2	1.54
личностного	74279	12603	2	2	1.54
роста	74279	12603	2	2	1.54
творческого	74279	12603	2	2	1.54
экологическая	74279	12603	2	2	1.54
марово	74279	12603	2	2	1.54
островной	74279	12603	2	2	1.54
оживить	74279	12603	2	2	1.54
социальную	74279	12603	2	2	1.54
двадцатый	74279	12603	2	2	1.54
важным	74279	12603	2	2	1.54
первостепенное	74279	12603	2	2	1.54
представители	74279	12603	2	2	1.54
Карельская	74279	12603	2	2	1.54
деревне	74279	12603	2	2	1.54
Киннермаки	74279	12603	2	2	1.54
Карелии	74279	12603	2	2	1.54
стремятся	74279	12603	2	2	1.54
географичный	74279	12603	2	2	1.54
характеризующийся	74279	12603	2	2	1.54
десквамацией	74279	12603	2	2	1.54
отслоением	74279	12603	2	2	1.54
очевидную	74279	12603	2	2	1.54
клиническую	74279	12603	2	2	1.54
характеру	74279	12603	2	2	1.54
инфекционным	74279	12603	2	2	1.54
воспалительным	74279	12603	2	2	1.54
невоспалительным	74279	12603	2	2	1.54
проявлений	74279	12603	2	2	1.54
псориаза	74279	12603	2	2	1.54
шершавым	74279	12603	2	2	1.54
белесым	74279	12603	2	2	1.54
очагах	74279	12603	2	2	1.54
десквамации	74279	12603	2	2	1.54
гиперкератоз	74279	12603	2	2	1.54
эпидермиса	74279	12603	2	2	1.54
сахарного	74279	12603	2	2	1.54
соединительной	74279	12603	2	2	1.54
поражает	74279	12603	2	2	1.54
кожей	74279	12603	2	2	1.54
материками	74279	12603	2	2	1.54
островами	74279	12603	2	2	1.54
осложнение	74279	12603	2	2	1.54
термином	74279	12603	2	2	1.54
сути	74279	12603	2	2	1.54
симптому	74279	12603	2	2	1.54
возникающему	74279	12603	2	2	1.54
редких	74279	12603	2	2	1.54
переродиться	74279	12603	2	2	1.54
горизонты	74279	12603	2	2	1.54
выучив	74279	12603	2	2	1.54
способа	74279	12603	2	2	1.54
начинаете	74279	12603	2	2	1.54
вероятно	74279	12603	2	2	1.54
выберите	74279	12603	2	2	1.54
по-итальянски	74279	12603	2	2	1.54
выезжая	74279	12603	2	2	1.54
интересов	74279	12603	2	2	1.54
вовлеченными	74279	12603	2	2	1.54
сохранять	74279	12603	2	2	1.54
делайте	74279	12603	2	2	1.54
признаем	74279	12603	2	2	1.54
зависимость	74279	12603	2	2	1.54
концентрацией	74279	12603	2	2	1.54
упорного	74279	12603	2	2	1.54
мифов	74279	12603	2	2	1.54
сомнительных	74279	12603	2	2	1.54
быстрых	74279	12603	2	2	1.54
добьетесь	74279	12603	2	2	1.54
приложив	74279	12603	2	2	1.54
пустая	74279	12603	2	2	1.54
шокирует	74279	12603	2	2	1.54
уверенного	74279	12603	2	2	1.54
владения	74279	12603	2	2	1.54
длительным	74279	12603	2	2	1.54
сильную	74279	12603	2	2	1.54
десять	74279	12603	2	2	1.54
бешеной	74279	12603	2	2	1.54
скоростью	74279	12603	2	2	1.54
