item	total	count part-1	specif part-1	count part-2	specif part-2
патологии	48	10	-1.14	38	1.14
Удаление	48	0	-6.87	48	6.87
ли	47	17	1.24	30	-1.24
они	47	16	1.09	31	-1.09
тем	46	17	1.29	29	-1.29
говорят	46	18	1.49	28	-1.49
изучения	46	21	2.32	25	-2.32
день	46	13	0.89	33	0.89
которая	46	16	1.12	30	-1.12
слов	45	15	1.03	30	-1.03
поверхности	45	17	1.34	28	-1.34
языками	44	22	2.97	22	-2.97
функции	44	19	1.91	25	-1.91
быстро	44	19	1.91	25	-1.91
общения	44	17	1.41	27	-1.41
онлайн	44	13	0.89	31	-0.89
люди	44	15	1.06	29	-1.06
этой	43	13	0.90	30	-0.90
21	43	8	-1.26	35	1.26
другие	43	16	1.27	27	-1.27
11	43	4	-2.70	39	2.70
чистить	43	21	2.71	22	-2.71
цвет	43	18	1.73	25	-1.73
России	42	13	0.92	29	-0.92
15	42	8	-1.21	34	1.21
Контакты	42	0	-6.01	42	6.01
зуба	42	0	-6.01	42	6.01
место	41	13	0.93	28	-0.93
связи	41	15	1.19	26	-1.19
общества	41	18	1.92	23	-1.92
врачу	41	14	1.04	27	-1.04
можете	41	12	0.87	29	-0.87
выучить	41	20	2.61	21	-2.61
культуры	40	17	1.72	23	-1.72
0	40	5	-1.95	35	1.95
всех	40	13	0.96	27	-0.96
Л	40	14	1.08	26	-1.08
заболеваний	40	11	0.85	29	0.85
2024	40	6	-1.59	34	1.59
прием	40	2	-3.65	38	3.65
Москва	40	0	-5.72	40	5.72
Однако	39	12	0.89	27	-0.89
развитие	39	12	0.89	27	-0.89
Он	39	12	0.89	27	-0.89
12	39	7	-1.25	32	1.25
английский	39	11	0.85	28	0.85
2021	39	6	-1.52	33	1.52
народов	38	16	1.63	22	-1.63
языкового	38	19	2.66	19	-2.66
наиболее	38	16	1.63	22	-1.63
Так	38	16	1.63	22	-1.63
жизни	38	10	0.85	28	0.85
ее	38	10	0.85	28	0.85
являются	37	10	0.84	27	0.84
себя	37	7	-1.14	30	1.14
текст	37	9	-0.88	28	0.88
раз	37	12	0.93	25	-0.93
времени	37	11	0.86	26	-0.86
просто	37	12	0.93	25	-0.93
мире	36	14	1.29	22	-1.29
У	36	11	0.87	25	-0.87
становится	36	14	1.29	22	-1.29
языках	36	18	2.55	18	-2.55
слизистой	36	8	-0.94	28	0.94
этот	36	13	1.10	23	-1.10
следует	36	13	1.10	23	-1.10
п	36	8	-0.94	28	0.94
Екатерина	36	7	-1.09	29	1.09
нем	35	16	1.94	19	-1.94
году	35	12	0.99	23	-0.99
проблемы	35	13	1.15	22	-1.15
свои	35	11	0.88	24	-0.88
обращения	35	4	-1.92	31	1.92
ООН	35	11	0.88	24	-0.88
причины	35	13	1.15	22	-1.15
лечения	35	6	-1.25	29	1.25
текста	35	15	1.63	20	-1.63
много	34	9	0.82	25	0.82
Не	34	8	-0.88	26	0.88
Почему	34	11	0.90	23	-0.90
Мы	34	5	-1.46	29	1.46
стоматология	34	0	-4.87	34	4.87
495	34	0	-4.87	34	4.87
которой	33	13	1.28	20	-1.28
стран	33	10	0.84	23	-0.84
значение	33	13	1.28	20	-1.28
бы	33	12	1.08	21	-1.08
дата	33	4	-1.74	29	1.74
разных	33	11	0.93	22	-0.93
ребенка	33	8	-0.85	25	0.85
носителей	32	15	1.96	17	-1.96
качестве	32	13	1.35	19	-1.35
количество	32	10	0.86	22	-0.86
06	32	3	-2.11	29	2.11
организме	32	11	0.96	21	-0.96
вопрос	32	10	0.86	22	-0.86
пятна	32	14	1.63	18	-1.63
нас	32	4	-1.66	28	1.66
лечение	32	3	-2.11	29	2.11
персональных	32	0	-4.58	32	4.58
речевой	31	12	1.19	19	-1.19
ЕС	31	13	1.43	18	-1.43
каждый	31	10	0.88	21	-0.88
когда	31	7	-0.88	24	0.88
Новости	31	1	-3.35	30	3.35
лучше	31	9	0.81	22	-0.81
пищи	31	7	-0.88	24	0.88
вас	31	8	0.81	23	0.81
образования	31	11	1.00	20	-1.00
часто	31	10	0.88	21	-0.88
особенности	31	13	1.43	18	-1.43
Статьи	31	4	-1.57	27	1.57
Отправить	31	1	-3.35	30	3.35
Политика	31	0	-4.44	31	4.44
русском	30	15	2.23	15	-2.23
имеют	30	11	1.05	19	-1.05
эти	30	10	0.90	20	-0.90
образование	30	9	0.82	21	-0.82
говорит	30	11	1.05	19	-1.05
изучать	30	14	1.85	16	-1.85
Главная	30	8	0.79	22	0.79
процесс	30	8	0.79	22	0.79
Налет	30	12	1.26	18	-1.26
система	30	10	0.90	20	-0.90
людей	30	8	0.79	22	0.79
где	30	9	0.82	21	-0.82
здоровья	30	5	-1.18	25	1.18
тоже	30	9	0.82	21	-0.82
было	30	9	0.82	21	-0.82
Отзывы	30	1	-3.22	29	3.22
легко	30	8	0.79	22	0.79
Имплантация	30	0	-4.29	30	4.29
деятельности	29	6	-0.92	23	0.92
изучению	29	14	1.98	15	-1.98
котором	29	10	0.93	19	-0.93
статьи	29	6	-0.92	23	0.92
Причины	29	9	0.83	20	-0.83
белый	29	11	1.11	18	-1.11
врача	29	0	-4.15	29	4.15
информации	28	6	-0.88	22	0.88
официальных	28	14	2.13	14	-2.13
лет	28	5	-1.06	23	1.06
Европе	28	14	2.13	14	-2.13
родного	28	14	2.13	14	-2.13
иностранный	28	13	1.75	15	-1.75
был	28	11	1.17	17	-1.17
формы	28	12	1.43	16	-1.43
использовать	28	10	0.98	18	-0.98
форму	28	7	-0.79	21	0.79
рту	28	8	0.78	20	0.78
из-за	28	10	0.98	18	-0.98
Фото	28	8	0.78	20	0.78
поверхность	28	12	1.43	16	-1.43
000	28	7	-0.79	21	0.79
обучение	28	14	2.13	14	-2.13
обработку	28	1	-2.97	27	2.97
Ричардс	28	12	1.43	16	-1.43
начать	28	11	1.17	17	-1.17
чистки	28	13	1.75	15	-1.75
вода	28	1	-2.97	27	2.97
определить	28	12	1.43	16	-1.43
ЮНЕСКО	27	11	1.24	16	-1.24
Кроме	27	11	1.24	16	-1.24
иностранных	27	13	1.87	14	-1.87
испанский	27	10	1.02	17	-1.02
функция	27	11	1.24	16	-1.24
Языки	27	7	0.78	20	0.78
около	27	10	1.02	17	-1.02
Н	27	6	-0.84	21	0.84
об	27	6	-0.84	21	0.84
достаточно	27	9	0.87	18	-0.87
Врачи	27	2	-2.14	25	2.14
важно	27	8	0.79	19	-0.79
нет	27	8	0.79	19	-0.79
были	27	6	-0.84	21	0.84
Также	27	6	-0.84	21	0.84
такой	26	8	0.80	18	-0.80
своих	26	7	0.76	19	0.76
двух	26	11	1.33	15	-1.33
два	26	10	1.08	16	-1.08
говорить	26	11	1.33	15	-1.33
процессе	26	10	1.08	16	-1.08
через	26	8	0.80	18	-0.80
05	26	3	-1.53	23	1.53
Изучение	26	13	2.02	13	-2.02
зубы	26	7	0.76	19	0.76
болезней	26	8	0.80	18	-0.80
еще	26	10	1.08	16	-1.08
делать	26	8	0.80	18	-0.80
них	26	9	0.90	17	-0.90
языковых	26	13	2.02	13	-2.02
необходимо	26	9	0.90	17	-0.90
чистка	26	3	-1.53	23	1.53
единица	26	11	1.33	15	-1.33
меня	26	6	-0.81	20	0.81
мне	26	4	-1.18	22	1.18
течение	25	7	0.76	18	0.76
мере	25	10	1.15	15	-1.15
пространства	25	9	0.95	16	-0.95
17	25	2	-1.92	23	1.92
часть	25	8	0.81	17	-0.81
собой	25	8	0.81	17	-0.81
части	25	10	1.15	15	-1.15
используется	25	11	1.42	14	-1.42
изменения	25	9	0.95	16	-0.95
цвета	25	9	0.95	16	-0.95
несколько	25	7	0.76	18	0.76
позволяет	25	10	1.15	15	-1.15
всегда	25	7	0.76	18	0.76
год	25	3	-1.44	22	1.44
Центр	25	3	-1.44	22	1.44
Речь	25	8	0.81	17	-0.81
органов	25	5	-0.90	20	0.90
Российской	25	5	-0.90	20	0.90
Федерации	25	7	0.76	18	0.76
числе	24	10	1.23	14	-1.23
себе	24	5	-0.85	19	0.85
школе	24	8	0.84	16	-0.84
33	24	3	-1.35	21	1.35
2018	24	5	-0.85	19	0.85
проблема	24	9	1.00	15	-1.00
соответствии	24	6	-0.76	18	0.76
должен	24	10	1.23	14	-1.23
стоит	24	7	0.76	17	0.76
родной	24	12	1.91	12	-1.91
новости	24	2	-1.81	22	1.81
помощью	24	6	-0.76	18	0.76
здоровье	24	5	-0.85	19	0.85
вопросы	24	4	-1.04	20	1.04
ЖКТ	24	5	-0.85	19	0.85
09	24	1	-2.46	23	2.46
определитель	24	12	1.91	12	-1.91
Выберите	24	0	-3.43	24	3.43
Акции	24	0	-3.43	24	3.43
немецкого	23	10	1.32	13	-1.32
которого	23	8	0.87	15	-0.87
Английский	23	10	1.32	13	-1.32
исследования	23	5	-0.81	18	0.81
такое	23	6	0.74	17	0.74
зубной	23	8	0.87	15	-0.87
потому	23	5	-0.81	18	0.81
После	23	7	0.76	16	-0.76
материалы	23	3	-1.27	20	1.27
др	23	8	0.87	15	-0.87
гигиены	23	6	0.74	17	0.74
сайта	23	1	-2.34	22	2.34
конфиденциальности	23	0	-3.29	23	3.29
Услуги	23	0	-3.29	23	3.29
официальным	22	10	1.42	12	-1.42
им	22	6	0.73	16	0.73
страны	22	4	-0.92	18	0.92
18	22	1	-2.21	21	2.21
проблем	22	8	0.91	14	-0.91
использования	22	7	0.78	15	-0.78
немецкий	22	7	0.78	15	-0.78
английском	22	8	0.91	14	-0.91
24	22	3	-1.19	19	1.19
обучения	22	8	0.91	14	-0.91
Например	22	7	0.78	15	-0.78
появление	22	8	0.91	14	-0.91
жизнь	22	6	0.73	16	0.73
болезнях	22	8	0.91	14	-0.91
использование	22	8	0.91	14	-0.91
надо	22	8	0.91	14	-0.91
случаев	22	8	0.91	14	-0.91
одна	22	9	1.13	13	-1.13
вид	22	6	0.73	16	0.73
Репетиторы	22	4	-0.92	18	0.92
16	22	2	-1.60	20	1.60
клиники	22	3	-1.19	19	1.19
Чистка	22	4	-0.92	18	0.92
Россия	22	1	-2.21	21	2.21
иногда	22	7	0.78	15	-0.78
болезни	22	5	-0.77	17	0.77
Вас	22	4	-0.92	18	0.92
Наши	22	0	-3.15	22	3.15
каждого	21	10	1.54	11	-1.54
народа	21	8	0.97	13	-0.97
культурного	21	6	0.72	15	0.72
роль	21	7	0.80	14	-0.80
результаты	21	4	-0.86	17	0.86
образом	21	8	0.97	13	-0.97
средство	21	9	1.21	12	-1.21
сфере	21	4	-0.86	17	0.86
правило	21	6	0.72	15	0.72
40	21	7	0.80	14	-0.80
деятельность	21	2	-1.50	19	1.50
изучение	21	10	1.54	11	-1.54
организма	21	6	0.72	15	0.72
случае	21	5	-0.74	16	0.74
Поэтому	21	7	0.80	14	-0.80
взрослых	21	6	0.72	15	0.72
уровень	21	3	-1.11	18	1.11
средства	21	6	0.72	15	0.72
всем	21	9	1.21	12	-1.21
самостоятельно	21	8	0.97	13	-0.97
Чем	21	6	0.72	15	0.72
почему	21	7	0.80	14	-0.80
Корпоративное	21	8	0.97	13	-0.97
минут	21	3	-1.11	18	1.11
водой	21	6	0.72	15	0.72
белого	21	8	0.97	13	-0.97
Перейти	21	3	-1.11	18	1.11
занимает	20	8	1.03	12	-1.03
лишь	20	6	0.73	14	-0.73
этим	20	8	1.03	12	-1.03
культурной	20	6	0.73	14	-0.73
языковую	20	10	1.68	10	-1.68
зависит	20	6	0.73	14	-0.73
менее	20	8	1.03	12	-1.03
русскому	20	9	1.31	11	-1.31
языковая	20	10	1.68	10	-1.68
выглядит	20	8	1.03	12	-1.03
условиях	20	6	0.73	14	-0.73
Е	20	7	0.83	13	-0.83
многих	20	9	1.31	11	-1.31
поэтому	20	6	0.73	14	-0.73
кариеса	20	2	-1.40	18	1.40
должны	20	6	0.73	14	-0.73
географического	20	10	1.68	10	-1.68
пятен	20	7	0.83	13	-0.83
области	20	5	0.71	15	0.71
сайт	20	1	-1.97	19	1.97
Когда	20	5	0.71	15	0.71
слово	20	8	1.03	12	-1.03
мысли	20	8	1.03	12	-1.03
корня	20	6	0.73	14	-0.73
гигиена	20	2	-1.40	18	1.40
сосочки	20	6	0.73	14	-0.73
нам	20	4	-0.81	16	0.81
свой	19	7	0.88	12	-0.88
символов	19	8	1.11	11	-1.11
которую	19	7	0.88	12	-0.88
требует	19	8	1.11	11	-1.11
центр	19	2	-1.30	17	1.30
прежде	19	5	0.70	14	0.70
почти	19	7	0.88	12	-0.88
боль	19	6	0.74	13	-0.74
Есть	19	7	0.88	12	-0.88
века	19	8	1.11	11	-1.11
внимание	19	7	0.88	12	-0.88
группы	19	7	0.88	12	-0.88
науки	19	6	0.74	13	-0.74
приема	19	5	0.70	14	0.70
печени	19	5	0.70	14	0.70
СМИ	19	4	-0.76	15	0.76
сайте	19	3	-0.96	16	0.96
врач	19	4	-0.76	15	0.76
Туркменистана	19	2	-1.30	17	1.30
Клиника	19	0	-2.72	19	2.72
Протезирование	19	0	-2.72	19	2.72
комментарии	18	2	-1.21	16	1.21
одним	18	7	0.93	11	-0.93
национальной	18	6	0.76	12	-0.76
государств	18	3	-0.89	15	0.89
знания	18	5	0.69	13	0.69
странах	18	5	0.69	13	0.69
коренных	18	9	1.57	9	-1.57
французский	18	5	0.69	13	0.69
была	18	5	0.69	13	0.69
23	18	5	0.69	13	0.69
изучении	18	9	1.57	9	-1.57
особенно	18	7	0.93	11	-0.93
самых	18	7	0.93	11	-0.93
статье	18	7	0.93	11	-0.93
процессы	18	7	0.93	11	-0.93
характер	18	3	-0.89	15	0.89
друг	18	6	0.76	12	-0.76
зависимости	18	7	0.93	11	-0.93
заболевание	18	5	0.69	13	0.69
форме	18	5	0.69	13	0.69
будут	18	3	-0.89	15	0.89
заболеваниях	18	6	0.76	12	-0.76
причиной	18	7	0.93	11	-0.93
таких	18	3	-0.89	15	0.89
советов	18	8	1.20	10	-1.20
уровня	18	1	-1.73	17	1.73
курсов	18	6	0.76	12	-0.76
обратиться	18	4	-0.72	14	0.72
Диагностика	18	2	-1.21	16	1.21
стоматологии	18	2	-1.21	16	1.21
Установка	18	0	-2.58	18	2.58
средством	17	5	0.68	12	0.68
стал	17	7	1.00	10	-1.00
2020	17	4	-0.69	13	0.69
зрения	17	7	1.00	10	-1.00
две	17	7	1.00	10	-1.00
именно	17	7	1.00	10	-1.00
коммуникации	17	6	0.79	11	-0.79
22	17	2	-1.12	15	1.12
данные	17	4	-0.69	13	0.69
25	17	5	0.68	12	0.68
13	17	2	-1.12	15	1.12
некоторые	17	6	0.79	11	-0.79
пока	17	5	0.68	12	0.68
Д	17	4	-0.69	13	0.69
всей	17	5	0.68	12	0.68
стать	17	5	0.68	12	0.68
родным	17	8	1.32	9	-1.32
сделать	17	3	-0.83	14	0.83
появляются	17	7	1.00	10	-1.00
жжение	17	7	1.00	10	-1.00
ни	17	6	0.79	11	-0.79
состояние	17	6	0.79	11	-0.79
50	17	8	1.32	9	-1.32
90	17	2	-1.12	15	1.12
ситуации	17	7	1.00	10	-1.00
происходит	17	5	0.68	12	0.68
щеткой	17	6	0.79	11	-0.79
Можно	17	6	0.79	11	-0.79
знаний	17	4	-0.69	13	0.69
говорящего	17	3	-0.83	14	0.83
говяжий	17	8	1.32	9	-1.32
определения	17	8	1.32	9	-1.32
мозга	17	5	0.68	12	0.68
Информация	17	0	-2.43	17	2.43
специалисту	17	0	-2.43	17	2.43
Стоматология	17	0	-2.43	17	2.43
клиник	17	0	-2.43	17	2.43
кнопку	17	0	-2.43	17	2.43
заявку	17	0	-2.43	17	2.43
Профессиональная	17	0	-2.43	17	2.43
говорящих	16	6	0.84	10	-0.84
млн	16	6	0.84	10	-0.84
находится	16	6	0.84	10	-0.84
этих	16	7	1.09	9	-1.09
социальной	16	7	1.09	9	-1.09
сайтов	16	6	0.84	10	-0.84
русской	16	6	0.84	10	-0.84
любой	16	5	0.69	11	-0.69
которое	16	4	0.66	12	0.66
30	16	2	-1.03	14	1.03
19	16	2	-1.03	14	1.03
уровне	16	6	0.84	10	-0.84
населения	16	6	0.84	10	-0.84
знать	16	6	0.84	10	-0.84
основе	16	5	0.69	11	-0.69
родном	16	8	1.45	8	-1.45
одного	16	6	0.84	10	-0.84
миллионов	16	7	1.09	9	-1.09
современного	16	7	1.09	9	-1.09
органа	16	4	0.66	12	0.66
убрать	16	3	-0.77	13	0.77
выражения	16	8	1.45	8	-1.45
чаще	16	6	0.84	10	-0.84
большинстве	16	7	1.09	9	-1.09
обращаться	16	5	0.69	11	-0.69
Его	16	7	1.09	9	-1.09
связано	16	4	0.66	12	0.66
эпителия	16	7	1.09	9	-1.09
налетом	16	6	0.84	10	-0.84
Блог	16	3	-0.77	13	0.77
Найти	16	2	-1.03	14	1.03
обмена	16	6	0.84	10	-0.84
Учить	16	3	-0.77	13	0.77
идише	16	5	0.69	11	-0.69
тогда	16	6	0.84	10	-0.84
информацию	16	4	0.66	12	0.66
государственный	16	4	0.66	12	0.66
представляет	16	3	-0.77	13	0.77
Врач	16	5	0.69	11	-0.69
РБК	16	1	-1.49	15	1.49
предложение	16	3	-0.77	13	0.77
Условия	16	2	-1.03	14	1.03
02	16	3	-0.77	13	0.77
39	16	0	-2.29	16	2.29
Консультация	16	0	-2.29	16	2.29
Нажимая	16	0	-2.29	16	2.29
клинике	16	0	-2.29	16	2.29
ближайшее	16	0	-2.29	16	2.29
Аналитика	15	1	-1.38	14	1.38
английскому	15	6	0.90	9	-0.90
целом	15	5	0.71	10	-0.71
официальный	15	6	0.90	9	-0.90
появления	15	5	0.71	10	-0.71
международных	15	5	0.71	10	-0.71
2014	15	3	-0.71	12	0.71
Европы	15	6	0.90	9	-0.90
100	15	5	0.71	10	-0.71
возможность	15	7	1.20	8	-1.20
направление	15	4	0.65	11	0.65
другим	15	6	0.90	9	-0.90
большинство	15	5	0.71	10	-0.71
29	15	1	-1.38	14	1.38
зачем	15	7	1.20	8	-1.20
такие	15	4	0.65	11	0.65
чего	15	6	0.90	9	-0.90
виды	15	6	0.90	9	-0.90
состоянии	15	7	1.20	8	-1.20
болезнь	15	2	-0.94	13	0.94
различных	15	6	0.90	9	-0.90
возникает	15	4	0.65	11	0.65
нарушения	15	3	-0.71	12	0.71
дней	15	6	0.90	9	-0.90
бывает	15	6	0.90	9	-0.90
Они	15	6	0.90	9	-0.90
участки	15	6	0.90	9	-0.90
появляется	15	5	0.71	10	-0.71
явление	15	6	0.90	9	-0.90
репетиторов	15	6	0.90	9	-0.90
Олли	15	7	1.20	8	-1.20
своей	15	5	0.71	10	-0.71
те	15	4	0.65	11	0.65
свою	15	3	-0.71	12	0.71
немного	15	6	0.90	9	-0.90
перед	15	4	0.65	11	0.65
Онлайн-курсы	15	1	-1.38	14	1.38
испанскому	15	6	0.90	9	-0.90
идиша	15	4	0.65	11	0.65
понимать	15	6	0.90	9	-0.90
очищение	15	7	1.20	8	-1.20
работает	15	4	0.65	11	0.65
сопровождается	15	5	0.71	10	-0.71
результате	15	6	0.90	9	-0.90
нельзя	15	4	0.65	11	0.65
высказывание	15	4	0.65	11	0.65
предложений	15	4	0.65	11	0.65
Вода	15	1	-1.38	14	1.38
систем	15	6	0.90	9	-0.90
вообще	15	5	0.71	10	-0.71
желудка	15	1	-1.38	14	1.38
услуги	15	1	-1.38	14	1.38
14	15	0	-2.15	15	2.15
дом	15	0	-2.15	15	2.15
375	15	0	-2.15	15	2.15
воды	15	0	-2.15	15	2.15
балл	15	0	-2.15	15	2.15
факторов	14	5	0.75	9	-0.75
основных	14	6	0.98	8	-0.98
процесса	14	3	-0.67	11	0.67
идентичности	14	4	0.64	10	0.64
другой	14	4	0.64	10	0.64
точки	14	6	0.98	8	-0.98
понять	14	4	0.64	10	0.64
среди	14	6	0.98	8	-0.98
полностью	14	4	0.64	10	0.64
европейцев	14	6	0.98	8	-0.98
35	14	2	-0.86	12	0.86
2019	14	2	-0.86	12	0.86
2017	14	3	-0.67	11	0.67
Б	14	6	0.98	8	-0.98
сколько	14	7	1.33	7	-1.33
Немецкий	14	7	1.33	7	-1.33
примерно	14	5	0.75	9	-0.75
осмотр	14	5	0.75	9	-0.75
см	14	6	0.98	8	-0.98
одной	14	3	-0.67	11	0.67
здорового	14	6	0.98	8	-0.98
запах	14	5	0.75	9	-0.75
симптом	14	5	0.75	9	-0.75
глоссит	14	4	0.64	10	0.64
следующие	14	5	0.75	9	-0.75
правильно	14	4	0.64	10	0.64
Нет	14	6	0.98	8	-0.98
поможет	14	3	-0.67	11	0.67
узнать	14	6	0.98	8	-0.98
патология	14	5	0.75	9	-0.75
сама	14	5	0.75	9	-0.75
2015	14	4	0.64	10	0.64
кажется	14	3	-0.67	11	0.67
чтения	14	4	0.64	10	0.64
ничего	14	4	0.64	10	0.64
звуки	14	4	0.64	10	0.64
студентов	14	4	0.64	10	0.64
восприятие	14	5	0.75	9	-0.75
Она	14	3	-0.67	11	0.67
некоторых	14	5	0.75	9	-0.75
результат	14	4	0.64	10	0.64
общий	14	5	0.75	9	-0.75
влияние	14	4	0.64	10	0.64
пациента	14	2	-0.86	12	0.86
морозе	14	6	0.98	8	-0.98
воду	14	1	-1.27	13	1.27
Автоматический	14	7	1.33	7	-1.33
продуктов	14	3	-0.67	11	0.67
мозг	14	4	0.64	10	0.64
08	14	0	-2.00	14	2.00
информация	14	0	-2.00	14	2.00
вами	14	0	-2.00	14	2.00
соглашаетесь	14	0	-2.00	14	2.00
звонок	14	0	-2.00	14	2.00
Спасибо	14	0	-2.00	14	2.00
протезирование	14	0	-2.00	14	2.00
заполнения	14	0	-2.00	14	2.00
пространстве	13	6	1.08	7	-1.08
степени	13	3	0.63	10	0.63
большая	13	5	0.79	8	-0.79
научных	13	1	-1.15	12	1.15
которым	13	5	0.79	8	-0.79
русским	13	6	1.08	7	-1.08
изучающих	13	6	1.08	7	-1.08
США	13	3	0.63	10	0.63
ситуация	13	4	0.64	9	-0.64
20	13	2	-0.79	11	0.79
права	13	1	-1.15	12	1.15
97	13	1	-1.15	12	1.15
80	13	3	0.63	10	0.63
число	13	5	0.79	8	-0.79
стало	13	6	1.08	7	-1.08
опыт	13	5	0.79	8	-0.79
Г	13	3	0.63	10	0.63
процессов	13	3	0.63	10	0.63
включая	13	6	1.08	7	-1.08
стране	13	5	0.79	8	-0.79
украинский	13	5	0.79	8	-0.79
изо	13	5	0.79	8	-0.79
крови	13	3	0.63	10	0.63
витамина	13	6	1.08	7	-1.08
вкус	13	4	0.64	9	-0.64
мышц	13	5	0.79	8	-0.79
существует	13	4	0.64	9	-0.64
вашего	13	3	0.63	10	0.63
привести	13	3	0.63	10	0.63
средствами	13	4	0.64	9	-0.64
вызывает	13	5	0.79	8	-0.79
